V= -9.84602850503550186545e+00 ,I= 8.60999767383697545142e+00
V= -9.74602850503550222072e+00 ,I= 8.60999760392404667186e+00
V= -9.64602850503550257599e+00 ,I= 8.60999753388582789171e+00
V= -9.54602850503550293126e+00 ,I= 8.60999746365966878159e+00
V= -9.44602850503550328654e+00 ,I= 8.60999739321425217042e+00
V= -9.34602850503550364181e+00 ,I= 8.60999732261221950580e+00
V= -9.24602850503550399708e+00 ,I= 8.60999725179092401106e+00
V= -9.14602850503550435235e+00 ,I= 8.60999718078168996271e+00
V= -9.04602850503550470762e+00 ,I= 8.60999710958451913712e+00
V= -8.94602850503550506289e+00 ,I= 8.60999703819941331062e+00
V= -8.84602850503550541816e+00 ,I= 8.60999696662636537781e+00
V= -8.74602850503550577344e+00 ,I= 8.60999689486538244410e+00
V= -8.64602850503550612871e+00 ,I= 8.60999682291645740406e+00
V= -8.54602850503550648398e+00 ,I= 8.60999675074827308663e+00
V= -8.44602850503550683925e+00 ,I= 8.60999667839215376830e+00
V= -8.34602850503550719452e+00 ,I= 8.60999660581677161986e+00
V= -8.24602850503550754979e+00 ,I= 8.60999653305344736509e+00
V= -8.14602850503550790506e+00 ,I= 8.60999646010219521486e+00
V= -8.04602850503550826033e+00 ,I= 8.60999638693167312908e+00
V= -7.94602850503550861561e+00 ,I= 8.60999631357321604241e+00
V= -7.84602850503550897088e+00 ,I= 8.60999623999549612563e+00
V= -7.74602850503550932615e+00 ,I= 8.60999616619851693144e+00
V= -7.64602850503550968142e+00 ,I= 8.60999609221359918365e+00
V= -7.54602850503551003669e+00 ,I= 8.60999601800942038210e+00
V= -7.44602850503551039196e+00 ,I= 8.60999594361730657965e+00
V= -7.34602850503551074723e+00 ,I= 8.60999586900592817074e+00
V= -7.24602850503551110251e+00 ,I= 8.60999579417529048442e+00
V= -7.14602850503551145778e+00 ,I= 8.60999571912539352070e+00
V= -7.04602850503551181305e+00 ,I= 8.60999564388755622701e+00
V= -6.94602850503551216832e+00 ,I= 8.60999556839913182671e+00
V= -6.84602850503551252359e+00 ,I= 8.60999549272277420187e+00
V= -6.74602850503551287886e+00 ,I= 8.60999541682715374691e+00
V= -6.64602850503551323413e+00 ,I= 8.60999534071227401455e+00
V= -6.54602850503551358941e+00 ,I= 8.60999526434680895193e+00
V= -6.44602850503551394468e+00 ,I= 8.60999518779340533570e+00
V= -6.34602850503551429995e+00 ,I= 8.60999511098941994192e+00
V= -6.24602850503551465522e+00 ,I= 8.60999503399749421817e+00
V= -6.14602850503551501049e+00 ,I= 8.60999495675498494052e+00
V= -6.04602850503551536576e+00 ,I= 8.60999487929321460911e+00
V= -5.94602850503551572103e+00 ,I= 8.60999480161218500029e+00
V= -5.84602850503551607630e+00 ,I= 8.60999472368057183758e+00
V= -5.74602850503551643158e+00 ,I= 8.60999464552969584474e+00
V= -5.64602850503551678685e+00 ,I= 8.60999456715956057451e+00
V= -5.54602850503551714212e+00 ,I= 8.60999448853883642130e+00
V= -5.44602850503551749739e+00 ,I= 8.60999440969885654340e+00
V= -5.34602850503551785266e+00 ,I= 8.60999433060829133524e+00
V= -5.24602850503551820793e+00 ,I= 8.60999425129846152061e+00
V= -5.14602850503551856320e+00 ,I= 8.60999417173805170478e+00
V= -5.04602850503551891848e+00 ,I= 8.60999409192705655869e+00
V= -4.94602850503551927375e+00 ,I= 8.60999401189680391155e+00
V= -4.84602850503551962902e+00 ,I= 8.60999393161596238144e+00
V= -4.74602850503551998429e+00 ,I= 8.60999385108453907378e+00
V= -4.64602850503552033956e+00 ,I= 8.60999377033385471236e+00
V= -4.54602850503552069483e+00 ,I= 8.60999368933258857339e+00
V= -4.44602850503552105010e+00 ,I= 8.60999360804941282765e+00
V= -4.34602850503552140538e+00 ,I= 8.60999352654697602816e+00
V= -4.24602850503552176065e+00 ,I= 8.60999344479395745111e+00
V= -4.14602850503552211592e+00 ,I= 8.60999336279035176744e+00
V= -4.04602850503552247119e+00 ,I= 8.60999328050484180608e+00
V= -3.94602850503552238237e+00 ,I= 8.60999319800006723824e+00
V= -3.84602850503552229355e+00 ,I= 8.60999311524471089285e+00
V= -3.74602850503552220474e+00 ,I= 8.60999303220744671705e+00
V= -3.64602850503552211592e+00 ,I= 8.60999294891960076370e+00
