V= -2.58196003103202862405e+01 ,P= 3.73475339663458289579e+04
V= 1.24180399689679717312e+02 ,P= -8.98103618338280357420e+04
V= 1.25180399689679717312e+02 ,P= -9.05335373116442788159e+04
V= 1.26180399689679717312e+02 ,P= -9.12567106559813546482e+04
V= 1.27180399689679717312e+02 ,P= -9.19798817977588332724e+04
V= 1.28180399689679717312e+02 ,P= -9.27030506647044821875e+04
V= 1.29180399689679717312e+02 ,P= -9.34262171822951204376e+04
V= 1.30180399689679717312e+02 ,P= -9.41493812733743834542e+04
V= 1.31180399689679717312e+02 ,P= -9.48725428591358941048e+04
V= 1.32180399689679717312e+02 ,P= -9.55957018573708191980e+04
V= 1.33180399689679717312e+02 ,P= -9.63188581837909587193e+04
V= 1.34180399689679717312e+02 ,P= -9.70420117505899106618e+04
V= 1.35180399689679717312e+02 ,P= -9.77651624681427929318e+04
V= 1.36180399689679717312e+02 ,P= -9.84883102435597393196e+04
V= 1.37180399689679717312e+02 ,P= -9.92114549802591645857e+04
V= 1.38180399689679717312e+02 ,P= -9.99345965797066601226e+04
V= 1.39180399689679717312e+02 ,P= -1.00657734939204790862e+05
V= 1.40180399689679717312e+02 ,P= -1.01380869953276094748e+05
V= 1.41180399689679717312e+02 ,P= -1.02104001513252384029e+05
V= 1.42180399689679717312e+02 ,P= -1.02827129506473778747e+05
V= 1.43180399689679717312e+02 ,P= -1.03550253816586598987e+05
V= 1.44180399689679717312e+02 ,P= -1.04273374324236123357e+05
V= 1.45180399689679717312e+02 ,P= -1.04996490905499347718e+05
V= 1.46180399689679717312e+02 ,P= -1.05719603432562318631e+05
V= 1.47180399689679717312e+02 ,P= -1.06442711773653689306e+05
V= 1.48180399689679717312e+02 ,P= -1.07165815793369605672e+05
V= 1.49180399689679717312e+02 ,P= -1.07888915351050512982e+05
V= 1.50180399689679717312e+02 ,P= -1.08612010301466361852e+05
V= 1.51180399689679717312e+02 ,P= -1.09335100495931052137e+05
V= 1.52180399689679717312e+02 ,P= -1.10058185779860534240e+05
V= 1.53180399689679717312e+02 ,P= -1.10781265994266374037e+05
V= 1.54180399689679717312e+02 ,P= -1.11504340974473074311e+05
V= 1.55180399689679717312e+02 ,P= -1.12227410551238019252e+05
V= 1.56180399689679717312e+02 ,P= -1.12950474549452352221e+05
V= 1.57180399689679717312e+02 ,P= -1.13673532789276723634e+05
V= 1.58180399689679717312e+02 ,P= -1.14396585083994650631e+05
V= 1.59180399689679717312e+02 ,P= -1.15119631241137278266e+05
V= 1.60180399689679717312e+02 ,P= -1.15842671062812689343e+05
V= 1.61180399689679717312e+02 ,P= -1.16565704344354860950e+05
V= 1.62180399689679717312e+02 ,P= -1.17288730874205197324e+05
V= 1.63180399689679717312e+02 ,P= -1.18011750435082154581e+05
V= 1.64180399689679717312e+02 ,P= -1.18734762801742370357e+05
V= 1.65180399689679717312e+02 ,P= -1.19457767742574505974e+05
V= 1.66180399689679717312e+02 ,P= -1.20180765017758239992e+05
V= 1.67180399689679717312e+02 ,P= -1.20903754380878715892e+05
V= 1.68180399689679717312e+02 ,P= -1.21626735576622406370e+05
V= 1.69180399689679717312e+02 ,P= -1.22349708342844431172e+05
V= 1.70180399689679717312e+02 ,P= -1.23072672407342499355e+05
V= 1.71180399689679717312e+02 ,P= -1.23795627491275736247e+05
