V= 1.61664648405202001413e+02 ,I= 2.16857466349957064722e+02
V= 1.62664648405202001413e+02 ,I= 2.16826152193031077786e+02
V= 1.63664648405202001413e+02 ,I= 2.16792497141620060574e+02
V= 1.64664648405202001413e+02 ,I= 2.16756521272100570741e+02
V= 1.65664648405202001413e+02 ,I= 2.16717898937814538840e+02
V= 1.66664648405202001413e+02 ,I= 2.16676581507796129245e+02
V= 1.67664648405202001413e+02 ,I= 2.16632172246353206901e+02
V= 1.68664648405202001413e+02 ,I= 2.16584698743502826801e+02
V= 1.69664648405202001413e+02 ,I= 2.16533733162206118550e+02
V= 1.70664648405202001413e+02 ,I= 2.16479186039470789638e+02
V= 1.71664648405202001413e+02 ,I= 2.16420713893430956887e+02
V= 1.72664648405202001413e+02 ,I= 2.16357942638481347331e+02
V= 1.73664648405202001413e+02 ,I= 2.16290678066511020461e+02
V= 1.74664648405202001413e+02 ,I= 2.16218660537560793955e+02
V= 1.75664648405202001413e+02 ,I= 2.16141325784467710491e+02
V= 1.76664648405202001413e+02 ,I= 2.16058542708076402050e+02
V= 1.77664648405202001413e+02 ,I= 2.15969985301406921963e+02
V= 1.78664648405202001413e+02 ,I= 2.15874781985259176054e+02
V= 1.79664648405202001413e+02 ,I= 2.15772825487745933515e+02
V= 1.80664648405202001413e+02 ,I= 2.15663519846986332595e+02
V= 1.81664648405202001413e+02 ,I= 2.15546576943041088725e+02
V= 1.82664648405202001413e+02 ,I= 2.15421074011496131106e+02
V= 1.83664648405202001413e+02 ,I= 2.15286662592196648802e+02
V= 1.84664648405202001413e+02 ,I= 2.15142432657376957650e+02
V= 1.85664648405202001413e+02 ,I= 2.14987959161248738837e+02
V= 1.86664648405202001413e+02 ,I= 2.14822577948118748736e+02
V= 1.87664648405202001413e+02 ,I= 2.14645261797931311776e+02
V= 1.88664648405202001413e+02 ,I= 2.14455325255623023395e+02
V= 1.89664648405202001413e+02 ,I= 2.14251688810001496677e+02
V= 1.90664648405202001413e+02 ,I= 2.14033128492128014386e+02
V= 1.91664648405202001413e+02 ,I= 2.13799500089615094112e+02
V= 1.92664648405202001413e+02 ,I= 2.13548921413125299296e+02
V= 1.93664648405202001413e+02 ,I= 2.13280647658678361722e+02
V= 1.94664648405202001413e+02 ,I= 2.12992836540152666203e+02
V= 1.95664648405202001413e+02 ,I= 2.12684576435889425738e+02
V= 1.96664648405202001413e+02 ,I= 2.12354052158350896207e+02
V= 1.97664648405202001413e+02 ,I= 2.12000899558784027477e+02
V= 1.98664648405202001413e+02 ,I= 2.11622233120337028822e+02
V= 1.99664648405202001413e+02 ,I= 2.11215542404605457705e+02
V= 2.00664648405202001413e+02 ,I= 2.10781216349396657961e+02
V= 2.01664648405202001413e+02 ,I= 2.10315744364493838248e+02
V= 2.02664648405202001413e+02 ,I= 2.09816881059589462666e+02
V= 2.03664648405202001413e+02 ,I= 2.09283022119380802906e+02
V= 2.04664648405202001413e+02 ,I= 2.08711806213023237433e+02
V= 2.05664648405202001413e+02 ,I= 2.08098830207809328385e+02
V= 2.06664648405202001413e+02 ,I= 2.07443493867950849108e+02
V= 2.07664648405202001413e+02 ,I= 2.06742340047306811357e+02
V= 2.08664648405202001413e+02 ,I= 2.05991244792825000332e+02
V= 2.09664648405202001413e+02 ,I= 2.05188737310328150443e+02
V= 2.10664648405202001413e+02 ,I= 2.04328559973867129429e+02
V= 2.11664648405202001413e+02 ,I= 2.03409257673646777675e+02
V= 2.12664648405202001413e+02 ,I= 2.02426606807759640105e+02
V= 2.13664648405202001413e+02 ,I= 2.01373923485390179167e+02
V= 2.14664648405202001413e+02 ,I= 2.00252108292272964718e+02
V= 2.15664648405202001413e+02 ,I= 1.99051446695917491070e+02
V= 2.16664648405202001413e+02 ,I= 1.97770447143597721151e+02
V= 2.17664648405202001413e+02 ,I= 1.96402836575686706055e+02
V= 2.18664648405202001413e+02 ,I= 1.94941782570956320342e+02
V= 2.19664648405202001413e+02 ,I= 1.93387127026302607646e+02
V= 2.20664648405202001413e+02 ,I= 1.91729317703280543128e+02
V= 2.21664648405202001413e+02 ,I= 1.89966580051424188014e+02
V= 2.22664648405202001413e+02 ,I= 1.88094959021551744627e+02
V= 2.23664648405202001413e+02 ,I= 1.86110823468593565622e+02
V= 2.24664648405202001413e+02 ,I= 1.84012561122013039494e+02
V= 2.25664648405202001413e+02 ,I= 1.81799542772011136549e+02
V= 2.26664648405202001413e+02 ,I= 1.79479371134333376858e+02
V= 2.27664648405202001413e+02 ,I= 1.77067556947474827211e+02
V= 2.28664648405202001413e+02 ,I= 1.74591077554002197303e+02
V= 2.29664648405202001413e+02 ,I= 1.72101604811349432111e+02
V= 2.30664648405202001413e+02 ,I= 1.69717469591838153065e+02
V= 2.31664648405202001413e+02 ,I= 1.67658401340923148837e+02
V= 2.32664648405202001413e+02 ,I= 1.66278464603185852866e+02
V= 2.33664648405202001413e+02 ,I= 1.65711957984342291184e+02
V= 2.34664648405202001413e+02 ,I= 1.65573699774379292649e+02
V= 2.35664648405202001413e+02 ,I= 1.65547126109155385620e+02
V= 2.36664648405202001413e+02 ,I= 1.65541949688949529218e+02
V= 2.37664648405202001413e+02 ,I= 1.65540550800854020963e+02
V= 2.38664648405202001413e+02 ,I= 1.65539794105731800755e+02
V= 2.39664648405202001413e+02 ,I= 1.65539130651220148138e+02
V= 2.40664648405202001413e+02 ,I= 1.65538463742032263326e+02
V= 2.41664648405202001413e+02 ,I= 1.65537775793100337296e+02
V= 2.42664648405202001413e+02 ,I= 1.65537062985135150939e+02
V= 2.43664648405202001413e+02 ,I= 1.65536323864314738330e+02
V= 2.44664648405202001413e+02 ,I= 1.65535557362472786735e+02
V= 2.45664648405202001413e+02 ,I= 1.65534762448860561790e+02
V= 2.46664648405202001413e+02 ,I= 1.65533938067018709717e+02
V= 2.47664648405202001413e+02 ,I= 1.65533083123861160857e+02
V= 2.48664648405202001413e+02 ,I= 1.65532196485684664822e+02
V= 2.49664648405202001413e+02 ,I= 1.65531276977679340234e+02
V= 2.50664648405202001413e+02 ,I= 1.65530323381670456229e+02
V= 2.51664648405202001413e+02 ,I= 1.65529334433896991641e+02
V= 2.52664648405202001413e+02 ,I= 1.65528308822565350056e+02
V= 2.53664648405202001413e+02 ,I= 1.65527245189128791480e+02
V= 2.54664648405202001413e+02 ,I= 1.65526142124410341694e+02
V= 2.55664648405202001413e+02 ,I= 1.65524998165930128380e+02
V= 2.56664648405202001413e+02 ,I= 1.65523811797340783869e+02
V= 2.57664648405202001413e+02 ,I= 1.65522581446808544570e+02
V= 2.58664648405202001413e+02 ,I= 1.65521305482496416062e+02
V= 2.59664648405202001413e+02 ,I= 1.65519982215311870277e+02
V= 2.60664648405202001413e+02 ,I= 1.65518609890023128628e+02
V= 2.61664648405202001413e+02 ,I= 1.65517186688006916029e+02
V= 2.62664648405202001413e+02 ,I= 1.65515710722769426866e+02
V= 2.63664648405202001413e+02 ,I= 1.65514180038966912889e+02
V= 2.64664648405202001413e+02 ,I= 1.65512592607663179933e+02
V= 2.65664648405202001413e+02 ,I= 1.65510946324522535633e+02
