 2019/5/7/11:57, 281964.7730198494
 2019/5/7/11:58, 281964.9403652587
 2019/5/7/11:59, 281965.287610099
 2019/5/7/12:0, 245873.84346658943
 2019/5/7/12:1, 245781.83392598425
 2019/5/7/12:2, 245878.5347556269
 2019/5/7/12:3, 245965.77813460995
 2019/5/7/12:4, 245873.84346658943
 2019/5/7/12:5, 245864.1774067742
 2019/5/7/12:6, 245762.40129511672
 2019/5/7/12:7, 245767.0546421856
 2019/5/7/12:8, 245772.06845493798
 2019/5/7/12:9, 245777.29841290484
 2019/5/7/12:10, 245777.29841290484
 2019/5/7/12:11, 245781.83392598425
 2019/5/7/12:12, 245878.5347556269
 2019/5/7/12:13, 245878.5347556269
 2019/5/7/12:14, 245873.84346658943
 2019/5/7/12:15, 245868.73622707874
 2019/5/7/12:16, 245767.0546421856
 2019/5/7/12:17, 245671.02123381782
 2019/5/7/12:18, 245676.19505427842
 2019/5/7/12:19, 245580.46034023486
 2019/5/7/12:20, 245575.7568176224
 2019/5/7/12:21, 245575.7568176224
 2019/5/7/12:22, 245575.7568176224
 2019/5/7/12:23, 245671.02123381782
 2019/5/7/12:24, 245671.02123381782
 2019/5/7/12:25, 245666.03920102047
 2019/5/7/12:26, 245575.7568176224
 2019/5/7/12:27, 245580.46034023486
 2019/5/7/12:28, 245580.46034023486
 2019/5/7/12:29, 245580.46034023486
 2019/5/7/12:30, 245585.44126986465
 2019/5/7/12:31, 245585.44126986465
 2019/5/7/12:32, 245580.46034023486
 2019/5/7/12:33, 245580.46034023486
 2019/5/7/12:34, 245481.21472091507
 2019/5/7/12:35, 245485.74240482302
 2019/5/7/12:36, 245481.21472091507
 2019/5/7/12:37, 245475.97975550062
 2019/5/7/12:38, 245470.97097497497
 2019/5/7/12:39, 245475.97975550062
 2019/5/7/12:40, 245475.97975550062
 2019/5/7/12:41, 245475.97975550062
 2019/5/7/12:42, 245490.86902236516
 2019/5/7/12:43, 245485.74240482302
 2019/5/7/12:44, 245580.46034023486
 2019/5/7/12:45, 245575.7568176224
 2019/5/7/12:46, 245666.03920102047
 2019/5/7/12:47, 245575.7568176224
 2019/5/7/12:48, 245575.7568176224
 2019/5/7/12:49, 245666.03920102047
 2019/5/7/12:50, 245566.09213305652
 2019/5/7/12:51, 245656.2429316023
 2019/5/7/12:52, 245551.17742555134
 2019/5/7/12:53, 245466.3144884691
 2019/5/7/12:54, 245555.8913884438
 2019/5/7/12:55, 245551.17742555134
 2019/5/7/12:56, 245546.0971118663
 2019/5/7/12:57, 245546.0971118663
 2019/5/7/12:58, 245546.0971118663
 2019/5/7/12:59, 245546.0971118663
 2019/5/7/13:0, 245551.17742555134
 2019/5/7/13:1, 245466.3144884691
 2019/5/7/13:2, 245466.3144884691
 2019/5/7/13:3, 245566.09213305652
 2019/5/7/13:4, 245560.87347910972
 2019/5/7/13:5, 245555.8913884438
 2019/5/7/13:6, 245560.87347910972
 2019/5/7/13:7, 245555.8913884438
 2019/5/7/13:8, 245560.87347910972
 2019/5/7/13:9, 245555.8913884438
 2019/5/7/13:10, 245461.17967000228
 2019/5/7/13:11, 245456.6424099547
 2019/5/7/13:12, 245456.6424099547
 2019/5/7/13:13, 245551.17742555134
 2019/5/7/13:14, 245551.17742555134
 2019/5/7/13:15, 245461.17967000228
 2019/5/7/13:16, 245470.97097497497
 2019/5/7/13:17, 245470.97097497497
 2019/5/7/13:18, 245570.66699538776
 2019/5/7/13:19, 245481.21472091507
 2019/5/7/13:20, 245570.66699538776
 2019/5/7/13:21, 245570.66699538776
 2019/5/7/13:22, 245566.09213305652
 2019/5/7/13:23, 245570.66699538776
 2019/5/7/13:24, 245575.7568176224
 2019/5/7/13:25, 245676.19505427842
 2019/5/7/13:26, 245676.19505427842
 2019/5/7/13:27, 245575.7568176224
 2019/5/7/13:28, 245671.02123381782
 2019/5/7/13:29, 245666.03920102047
 2019/5/7/13:30, 245661.29448453055
 2019/5/7/13:31, 245661.29448453055
 2019/5/7/13:32, 245666.03920102047
 2019/5/7/13:33, 245666.03920102047
 2019/5/7/13:34, 245676.19505427842
 2019/5/7/13:35, 245676.19505427842
 2019/5/7/13:36, 245666.03920102047
 2019/5/7/13:37, 245566.09213305652
 2019/5/7/13:38, 245575.7568176224
 2019/5/7/13:39, 245570.66699538776
 2019/5/7/13:40, 245566.09213305652
 2019/5/7/13:41, 245566.09213305652
 2019/5/7/13:42, 245566.09213305652
 2019/5/7/13:43, 245566.09213305652
 2019/5/7/13:44, 245575.7568176224
 2019/5/7/13:45, 245671.02123381782
 2019/5/7/13:46, 245575.7568176224
 2019/5/7/13:47, 245676.19505427842
 2019/5/7/13:48, 245676.19505427842
 2019/5/7/13:49, 245575.7568176224
 2019/5/7/13:50, 245666.03920102047
 2019/5/7/13:51, 245671.02123381782
 2019/5/7/13:52, 245676.19505427842
 2019/5/7/13:53, 245676.19505427842
 2019/5/7/13:54, 245676.19505427842
 2019/5/7/13:55, 245671.02123381782
 2019/5/7/13:56, 245767.0546421856
 2019/5/7/13:57, 245767.0546421856
