G[2134]= 0.954000 T[2134]= 53.390000 I[2134]= 608.986000 V[2134]= 380.080000  Time[2134]= 2019/5/7/10:8
G[2135]= 0.960000 T[2135]= 53.700000 I[2135]= 611.923000 V[2135]= 378.890000  Time[2135]= 2019/5/7/10:9
G[2136]= 0.960000 T[2136]= 53.700000 I[2136]= 612.038000 V[2136]= 380.950000  Time[2136]= 2019/5/7/10:10
G[2137]= 0.966000 T[2137]= 53.810000 I[2137]= 611.520000 V[2137]= 382.150000  Time[2137]= 2019/5/7/10:11
G[2138]= 0.960000 T[2138]= 53.500000 I[2138]= 610.838000 V[2138]= 382.130000  Time[2138]= 2019/5/7/10:12
G[2139]= 0.960000 T[2139]= 53.400000 I[2139]= 613.672000 V[2139]= 381.050000  Time[2139]= 2019/5/7/10:13
G[2140]= 0.966000 T[2140]= 53.610000 I[2140]= 627.747000 V[2140]= 373.430000  Time[2140]= 2019/5/7/10:14
G[2141]= 0.972000 T[2141]= 53.820000 I[2141]= 630.258000 V[2141]= 372.970000  Time[2141]= 2019/5/7/10:15
G[2142]= 0.978000 T[2142]= 53.830000 I[2142]= 629.266000 V[2142]= 377.200000  Time[2142]= 2019/5/7/10:16
G[2143]= 0.972000 T[2143]= 53.820000 I[2143]= 631.802000 V[2143]= 376.500000  Time[2143]= 2019/5/7/10:17
G[2144]= 0.966000 T[2144]= 53.810000 I[2144]= 629.125000 V[2144]= 376.520000  Time[2144]= 2019/5/7/10:18
G[2145]= 0.966000 T[2145]= 54.010000 I[2145]= 629.047000 V[2145]= 377.120000  Time[2145]= 2019/5/7/10:19
G[2146]= 0.972000 T[2146]= 54.420000 I[2146]= 626.087000 V[2146]= 380.150000  Time[2146]= 2019/5/7/10:20
G[2147]= 0.978000 T[2147]= 54.630000 I[2147]= 630.900000 V[2147]= 379.200000  Time[2147]= 2019/5/7/10:21
G[2148]= 0.990000 T[2148]= 54.950000 I[2148]= 631.289000 V[2148]= 380.580000  Time[2148]= 2019/5/7/10:22
G[2149]= 0.984000 T[2149]= 54.540000 I[2149]= 628.609000 V[2149]= 382.710000  Time[2149]= 2019/5/7/10:23
G[2150]= 0.984000 T[2150]= 54.440000 I[2150]= 630.851000 V[2150]= 381.250000  Time[2150]= 2019/5/7/10:24
